scenario,variable,t,level,baseline_level,dev_pct
unanticipated,Y,47,2.034513528,2.034513528,0
unanticipated,Y,48,2.065031231,2.065031231,0
unanticipated,Y,49,2.096006699,2.096006699,0
unanticipated,Y,50,1.010547184,2.1274468,-52.49953211
unanticipated,Y,51,1.029764972,2.159358502,-52.31153274
unanticipated,Y,52,1.046077745,2.191748879,-52.27200731
unanticipated,Y,53,1.062688551,2.224625112,-52.2306682
unanticipated,Y,54,1.079607638,2.257994489,-52.18732183
unanticipated,Y,55,1.096845883,2.291864406,-52.14176369
unanticipated,Y,56,1.114414846,2.326242372,-52.09377753
unanticipated,Y,57,1.132326819,2.361136008,-52.04313452
unanticipated,Y,58,1.150594888,2.396553048,-51.98959233
unanticipated,Y,59,1.169232993,2.432501344,-51.93289428
unanticipated,Y,60,1.18825599,2.468988864,-51.87276835
unanticipated,Y,61,1.207679728,2.506023697,-51.80892624
unanticipated,Y,62,1.227521118,2.543614052,-51.74106241
unanticipated,Y,63,1.247798213,2.581768263,-51.66885306
unanticipated,Y,64,1.268530291,2.620494787,-51.59195517
unanticipated,Y,65,1.289737946,2.659802209,-51.51000545
unanticipated,Y,66,1.311443177,2.699699242,-51.42261936
unanticipated,Y,67,1.333669486,2.740194731,-51.32939016
unanticipated,Y,68,1.356441982,2.781297652,-51.22988791
unanticipated,Y,69,1.379787484,2.823017116,-51.12365859
unanticipated,Y,70,1.403734631,2.865362373,-51.01022322
unanticipated,Y,71,1.428313995,2.908342809,-50.88907708
unanticipated,Y,72,1.453558199,2.951967951,-50.75968901
unanticipated,Y,73,1.479502032,2.99624747,-50.62150083
unanticipated,Y,74,1.506182569,3.041191182,-50.47392687
unanticipated,Y,75,1.533639291,3.08680905,-50.31635366
unanticipated,Y,76,1.561914206,3.133111186,-50.14813986
unanticipated,Y,77,1.591051963,3.180107853,-49.96861629
unanticipated,Y,78,1.621099965,3.227809471,-49.77708631
unanticipated,Y,79,1.652108481,3.276226613,-49.57282642
unanticipated,Y,80,1.684130745,3.325370013,-49.35508714
unanticipated,Y,81,1.717223048,3.375250563,-49.12309424
unanticipated,Y,82,1.751444819,3.425879321,-48.87605035
unanticipated,Y,83,1.786858694,3.477267511,-48.61313693
unanticipated,Y,84,1.823530568,3.529426524,-48.33351662
unanticipated,Y,85,1.861529627,3.582367921,-48.03633607
unanticipated,Y,86,1.900928365,3.63610344,-47.72072919
unanticipated,Y,87,1.941802569,3.690644992,-47.38582082
unanticipated,Y,88,1.984231292,3.746004667,-47.03073092
unanticipated,Y,89,2.028296786,3.802194737,-46.6545791
unanticipated,Y,90,2.074084414,3.859227658,-46.25648969
unanticipated,Y,91,2.121682532,3.917116073,-45.83559709
unanticipated,Y,92,2.171182335,3.975872814,-45.39105155
unanticipated,Y,93,2.222677679,4.035510906,-44.92202523
unanticipated,Y,94,2.276264864,4.09604357,-44.42771848
unanticipated,Y,95,2.332042396,4.157484223,-43.90736632
unanticipated,Y,96,2.390110713,4.219846486,-43.36024495
unanticipated,Y,97,2.450571892,4.283144184,-42.78567832
unanticipated,Y,98,2.513529321,4.347391347,-42.18304449
unanticipated,Y,99,2.579087368,4.412602217,-41.5517819
unanticipated,Y,100,2.301395955,4.47879125,-48.61569055
unanticipated,Y,101,2.31635097,4.545973119,-49.04609179
unanticipated,Y,102,2.331792958,4.614162716,-49.4644402
unanticipated,Y,103,2.347737745,4.683375156,-49.87081609
unanticipated,Y,104,2.364200774,4.753625784,-50.26531575
unanticipated,Y,105,2.381197095,4.82493017,-50.64805062
unanticipated,Y,106,2.398741358,4.897304123,-51.0191465
unanticipated,Y,107,2.416847801,4.970763685,-51.37874269
unanticipated,Y,108,2.435530254,5.04532514,-51.72699109
unanticipated,Y,109,2.45480213,5.121005017,-52.06405535
unanticipated,Y,110,2.47467643,5.197820092,-52.39010996
unanticipated,Y,111,2.495165745,5.275787394,-52.70533935
unanticipated,Y,112,2.516282258,5.354924205,-53.00993699
unanticipated,Y,113,2.538037757,5.435248068,-53.30410453
unanticipated,Y,114,2.560443638,5.516776789,-53.58805085
unanticipated,Y,115,2.583510922,5.599528441,-53.86199125
unanticipated,Y,116,2.607250261,5.683521367,-54.12614659
unanticipated,Y,117,2.631671956,5.768774188,-54.38074242
unanticipated,Y,118,2.656785972,5.855305801,-54.62600822
unanticipated,Y,119,2.682601956,5.943135388,-54.8621766
unanticipated,Y,120,2.709129249,6.032282418,-55.08948254
unanticipated,Y,121,2.736376911,6.122766655,-55.30816271
unanticipated,Y,122,2.764353737,6.214608154,-55.51845477
unanticipated,Y,123,2.79306828,6.307827277,-55.7205967
unanticipated,Y,124,2.822528864,6.402444686,-55.91482624
unanticipated,Y,125,2.852743616,6.498481356,-56.10138032
unanticipated,Y,126,2.883720475,6.595958577,-56.28049447
unanticipated,Y,127,2.915467222,6.694897955,-56.45240239
unanticipated,Y,128,2.947991496,6.795321425,-56.61733549
unanticipated,Y,129,2.981300818,6.897251246,-56.77552243
unanticipated,Y,130,3.015402606,7.000710015,-56.92718881
unanticipated,Y,131,3.050304203,7.105720665,-57.07255679
unanticipated,Y,132,3.086012891,7.212306475,-57.21184476
unanticipated,Y,133,3.12253591,7.320491072,-57.34526715
unanticipated,Y,134,3.159880482,7.430298438,-57.47303411
unanticipated,Y,135,3.198053825,7.541752915,-57.59535136
unanticipated,Y,136,3.23706317,7.654879208,-57.71241998
